Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
89,,,,,,,,,6 August 2019,23:23
90,,,,,,,,,11 November 2019,14:56
91,,,,,,,,,5 December 2019,17:29
92,,,,,,,,,17 December 2019,00:10
93,,,,,,,,,7 January 2020,02:19:21
94,,,,,,,,,19 January 2020,15:30
95,,,,,,,,,29 January 2020,14:07
96,,,,,,,,,17 February 2020,15:05
97,,,,,,,,,7 March 2020,04:50
98,,,,,,,,,18 March 2020,12:16
99,,,,,,,,,22 April 2020,19:30
100,,,,,,,,,30 May 2020,19:22
101,,,,,,,,,4 June 2020,01:25
102,,,,,,,,,13 June 2020,09:21
103,,,,,,,,,30 June 2020,20:10:46
104,,,,,,,,,20 July 2020,21:30
105,,,,,,,,,7 August 2020,05:12
106,,,,,,,,,18 August 2020,14:31
1,,,,,,,,,30 August 2020,23:18
2,,,,,,,,,3 September 2020,12:46:14
3,,,,,,,,,6 October 2020,11:29:34
4,,,,,,,,,18 October 2020,12:25:57
5,,,,,,,,,24 October 2020,15:31:34
6,,,,,,,,,5 November 2020,23:24:23
7,,,,,,,,,16 November 2020,00:27
8,,,,,,,,,21 November 2020,17:17:08
9,,,,,,,,,25 November 2020,02:13
10,,,,,,,,,6 December 2020,16:17:08
11,,,,,,,,,13 December 2020,17:30:00
12,,,,,,,,,19 December 2020,14:00:00
13,,,,,,,,,8 January 2021,02:15
14,,,,,,,,,20 January 2021,13:02
15,,,,,,,,,24 January 2021,15:00
16,,,,,,,,,4 June 2010,06:19
17,,,,,,,,,8 December 2010,03:59:37
18,,,,,,,,,22 May 2012,08:24
19,,,,,,,,,8 October 2012,08:13:29
20,,,,,,,,,1 March 2013,10:01
21,,,,,,,,,29 September 2013,08:28
22,,,,,,,,,3 December 2013,16:34
23,,,,,,,,,6 January 2014,9:49
24,,,,,,,,,18 April 2014,03:44
25,,,,,,,,,14 July 2014,19:01
26,,,,,,,,,5 August 2014,06:42
27,,,,,,,,,7 September 2014,22:56
28,,,,,,,,,21 September 2014,18:59
29,,,,,,,,,10 January 2015,17:29
30,,,,,,,,,11 February 2015,04:26
31,,,,,,,,,2 March 2015,
32,,,,,,,,,14 April 2015,
33,,,,,,,,,27 April 2015,
34,,,,,,,,,28 June 2015,
35,,,,,,,,,22 December 2015,
36,,,,,,,,,17 January 2016,
37,,,,,,,,,4 March 2016,
38,,,,,,,,,8 April 2016,
39,,,,,,,,,6 May 2016,
40,,,,,,,,,27 May 2016,
41,,,,,,,,,15 June 2016,
42,,,,,,,,,18 July 2016,
43,,,,,,,,,14 August 2016,
44,,,,,,,,,14 January 2017,
45,,,,,,,,,19 February 2017,
46,,,,,,,,,16 March 2017,
47,,,,,,,,,30 March 2017,
48,,,,,,,,,1 May 2017,
49,,,,,,,,,15 May 2017,
50,,,,,,,,,3 June 2017,
51,,,,,,,,,23 June 2017,
52,,,,,,,,,25 June 2017,
53,,,,,,,,,5 July 2017,
54,,,,,,,,,14 August 2017,
55,,,,,,,,,24 August 2017,
56,,,,,,,,,7 September 2017,
57,,,,,,,,,9 October 2017,
58,,,,,,,,,11 October 2017,
59,,,,,,,,,30 October 2017,
60,,,,,,,,,15 December 2017,
61,,,,,,,,,23 December 2017,
62,,,,,,,,,8 January 2018,
63,,,,,,,,,31 January 2018,
64,,,,,,,,,22 February 2018,
65,,,,,,,,,6 March 2018,
66,,,,,,,,,30 March 2018,
67,,,,,,,,,2 April 2018,
68,,,,,,,,,18 April 2018,
69,,,,,,,,,11 May 2018,
70,,,,,,,,,22 May 2018,
71,,,,,,,,,4 June 2018,
72,,,,,,,,,29 June 2018,
73,,,,,,,,,22 July 2018,
74,,,,,,,,,25 July 2018,
75,,,,,,,,,7 August 2018,
76,,,,,,,,,10 September 2018,
77,,,,,,,,,8 October 2018,
78,,,,,,,,,15 November 2018,
79,,,,,,,,,3 December 2018,
80,,,,,,,,,5 December 2018,
81,,,,,,,,,23 December 2018,
82,,,,,,,,,11 January 2019,
83,,,,,,,,,22 February 2019,
84,,,,,,,,,2 March 2019,
85,,,,,,,,,4 May 2019,
86,,,,,,,,,24 May 2019,
87,,,,,,,,,12 June 2019,
88,,,,,,,,,25 July 2019,
89,,,,,,,,,6 August 2019,
90,,,,,,,,,11 November 2019,
91,,,,,,,,,5 December 2019,
92,,,,,,,,,17 December 2019,
93,,,,,,,,,7 January 2020,
94,,,,,,,,,19 January 2020,
95,,,,,,,,,29 January 2020,
96,,,,,,,,,17 February 2020,
97,,,,,,,,,7 March 2020,
98,,,,,,,,,18 March 2020,
99,,,,,,,,,22 April 2020,
100,,,,,,,,,30 May 2020,
101,,,,,,,,,4 June 2020,
102,,,,,,,,,13 June 2020,
103,,,,,,,,,30 June 2020,
104,,,,,,,,,20 July 2020,
105,,,,,,,,,7 August 2020,
106,,,,,,,,,18 August 2020,
107,,,,,,,,,30 August 2020,
108,,,,,,,,,3 September 2020,
109,,,,,,,,,6 October 2020,
110,,,,,,,,,18 October 2020,
111,,,,,,,,,24 October 2020,
112,,,,,,,,,5 November 2020,
113,,,,,,,,,16 November 2020,
114,,,,,,,,,21 November 2020,
115,,,,,,,,,25 November 2020,
116,,,,,,,,,6 December 2020,
117,,,,,,,,,13 December 2020,
118,,,,,,,,,19 December 2020,
119,,,,,,,,,8 January 2021,
120,,,,,,,,,20 January 2021,
121,,,,,,,,,24 January 2021,
1,,,,,,,,,4 February 2021,
2,,,,,,,,,16 February 2021,
3,,,,,,,,,4 March 2021,
4,,,,,,,,,11 March 2021,
5,,,,,,,,,14 March 2021,
6,,,,,,,,,24 March 2021,
7,,,,,,,,,7 April 2021,
8,,,,,,,,,23 April 2021,
9,,,,,,,,,29 April 2021,
10,,,,,,,,,4 May 2021,
11,,,,,,,,,9 May 2021,
12,,,,,,,,,15 May 2021,
13,,,,,,,,,26 May 2021,
14,,,,,,,,,3 June 2021,
15,,,,,,,,,6 June 2021,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,,,,,
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,,
17,,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,,,,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,,,,,,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,,,,,,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,,,
55,,,,,,,,,,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,,
60,,,,,,,,,,
61,,,,,,,,,,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,,,,,,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,,,,,,
109,,,,,,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,,,,,,,,,,
119,,,,,,,,,,
120,,,,,,,,,,
121,,,,,,,,,,
